GUID 32d731cad0af4e6a85a7ffcb7b248794
Type Small
ID 3834

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 3329
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7

Interactability_Rewards 2

//Add to Trophies count
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 3332
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment

//Hide Trophy
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 3329
Interactability_Reward_1_Value True
