GUID 147447bd0a9a4344aad12538652be4b7
Type Storage
Useable Barricade
Build Storage_Wall
ID 47181

Size_X 1
Size_Y 1
Size_Z 0.31

Health 150
Range 4
Offset 0.25

Storage_X 1
Storage_Y 1

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 285
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
