GUID e79e0fdfd09840beb2bebd04cc173e5b
Type Small
ID 4508

Conditions 2
//This relay hasn't been taken
Condition_0_Type Flag_Bool
Condition_0_ID 45745
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

//Quest Active
Condition_1_Type Flag_Bool
Condition_1_ID 45746
Condition_1_Value True
Condition_1_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2

//Add to relay collected count
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 45737
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment
//relay has been collected
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 45745
Interactability_Reward_1_Value True



