GUID af8673204a3848d3941b3889f573868b
Type Medical
Rarity Rare
Useable Consumeable
ID 5603

Size_X 2
Size_Y 2
Size_Z 0.6

Aid
Health 50
Disinfectant 25
Bleeding
Broken

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supplies 5
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 5716
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 5722
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Supply_3_ID 5715
Blueprint_0_Supply_3_Amount 4
Blueprint_0_Supply_4_ID 5731
Blueprint_0_Supply_4_Amount 3
Blueprint_0_Build 32

Exclude_From_Master_Bundle
