GUID c1a2e4c02f504aa4a3b2b652b9621f60
Type Small
ID 23153

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 23153
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 23153
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 23150
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
