GUID b8bf99fbebe240b0b041f54a3848a165
Type Barricade
Rarity Rare
Useable Barricade
Build Spot
ID 47404

Size_X 2
Size_Y 2
Size_Z 0.37

Health 300
Range 4
Radius 0.1
Offset 0.82

Explosion 36

Blueprints 2
Blueprint_0_Type Furniture
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 458
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 68
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Supply_2_ID 285
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Blueprint_1_Type Furniture
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 47404
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 47405
Blueprint_1_Output_0_Amount 1
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 47404
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text Extend Neck
Action_0_Tooltip Extend the neck of the fan.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Medium_02.mp3
Has_Clip_Prefab false
PlacementPreviewPrefab Furniture/Fan/Preview.prefab
