GUID 52ebe91779a84fc6bb7d01dcc122ecfd
Type Supply
Rarity Epic
ID 60090

Size_X 1
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Blueprints 1
Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 60090
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 3
Blueprint_0_Output_0_ID 60023
Blueprint_0_Output_0_Amount 2
Blueprint_0_Output_1_ID 60030
Blueprint_0_Output_1_Amount 2
Blueprint_0_Output_2_ID 60031
Blueprint_0_Output_2_Amount 2
Blueprint_0_Build 32

Asset_Bundle_Version 3
