GUID f3ffc8bbd8734a35b8571ca9eb041647
Type Small
ID 3876

Conditions 2
Condition_0_Type Flag_Short
Condition_0_ID 3407
Condition_0_Value 4
Condition_0_Logic Equal
//Not Already Bandaged
Condition_1_Type Flag_Short
Condition_1_ID 3411
Condition_1_Value 5
Condition_1_Logic Less_Than

Interactability Quest
Interactability_Effect 32

Interactability_Rewards 3

//Set Condition To Bandaged
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 3411
Interactability_Reward_0_Value 5
Interactability_Reward_0_Modification Assign

//Set Disinfecting Modifier to -1
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 3410
Interactability_Reward_1_Value -1
Interactability_Reward_1_Modification Assign

//Multiply Blood by -1
Interactability_Reward_2_Type Flag_Math
Interactability_Reward_2_A_ID 3403
Interactability_Reward_2_B_ID 3410
Interactability_Reward_2_Operation Multiplication
