GUID 661f1e80a53941039d839a60e585c32e
Type Barricade
Useable Barricade
Build Barricade
ID 47333

Size_X 2
Size_Y 2
Size_Z 0.37

Health 300
Range 4
Radius 0.02
Offset 0.05

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 47333
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Product 47324
Blueprint_0_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 47333
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Change 8x8 Board
Action_0_Tooltip Change to 8x8 checkerboard.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_01.mp3
Salvage_Duration_Multiplier 2
Has_Clip_Prefab false
