GUID 67cc0a25a2144d548373f014852d8f5b
Type Barricade
Rarity Legendary
Useable Barricade
Build Barricade
ID 9802

Size_X 3
Size_Y 5
Size_Z 0.80

Health 1200
Range 8
Radius 0.5
Offset 0

Explosion 36

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 5
Blueprint_0_Supply_0_ID 74
Blueprint_0_Supply_0_Amount 25
Blueprint_0_Supply_1_ID 1425
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 70
Blueprint_0_Supply_2_Amount 8
Blueprint_0_Supply_3_ID 68
Blueprint_0_Supply_3_Amount 5
Blueprint_0_Supply_4_ID 75
Blueprint_0_Supply_4_Amount 3
Blueprint_0_Tool 138
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Armor_Tier High
