GUID fca5a610b7d649b38a284d68c0533569
Type Small

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 39126
Condition_0_Value false
Condition_0_Logic Equal
Condition_0_Allow_Unset True
Condition_1_Type Flag_Short
Condition_1_ID 39131
Condition_1_Value 1
Condition_1_Logic Equal

Interactability Quest
Interactability_Effect 36151
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 39126
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 39130
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
