GUID 47e10872fc1247ffbbd70e9fe94b3d1f
Type Storage
Useable Barricade
Build Storage
ID 47224

Size_X 2
Size_Y 2
Size_Z 0.32

Health 200
Range 4
Radius 0.2
Offset 0.57

Storage_X 4
Storage_Y 4

Explosion 29

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 362
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 71
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 138
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Medium_01.mp3
Has_Clip_Prefab false
