GUID cc47c219281a4fae966c8bfa4705332d

Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 2146

Sight 1301
Magazine 2147

Ammo_Min 250
Ammo_Max 250

Auto

Caliber 2146

Range 500
Firerate 4
Action Trigger

Player_Damage 18
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 60
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 20
Resource_Damage 10
Object_Damage 10


Aim_In_Duration 0.3
Spread_Aim 0.030
Spread_Hip 0.1

Recoil_Min_X -0.1
Recoil_Min_Y 0.3
Recoil_Max_X 0.1
Recoil_Max_Y 0.5

Recover_X 0.5
Recover_Y 0.5

Muzzle 4

Reload_Time 7
Turret
Exclude_From_Master_Bundle
