GUID 578fbb40714c41acbdd7f115c2769366

Type Magazine
Rarity Epic
ID 2503

Size_X 1
Size_Y 2
Size_Z 0.175

Amount 30
Count_Min 30
Count_Max 30

Calibers 1
Caliber_0 2500

Tracer 48

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 2503
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 2501
Blueprint_2_Build 30
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 2502
Blueprint_2_Build 30

Paintable
Exclude_From_Master_Bundle
