GUID b161f378ea9443618d96fe863171cea3
Type Barricade
Rarity Uncommon
Useable Barricade
Build Door
ID 47107

Size_X 2
Size_Y 1
Size_Z 0.29

Health 350
Range 4
Radius 0.01
Offset 1.25

Explosion 19

Blueprints 2
Blueprint_0_Type Barricade
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 281
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 141
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Blueprint_1_Type Barricade
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 47107
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 281
Blueprint_1_Output_0_Amount 1
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_01.mp3
Has_Clip_Prefab false
