GUID cbc8773c0b734e44b028f1e8d8d3ac33
Type Melee
Rarity Epic
Useable Melee
Slot Primary
ID 5560

Size_X 4
Size_Y 2
Size_Z 0.5
Size2_Z 0.6

Range 2
Alert_Radius 24

Player_Damage 30
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 30
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 30
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 3
Structure_Damage 3
Vehicle_Damage 10
Resource_Damage 50
Object_Damage 10

Durability 0.15

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5560
Blueprint_1_Product 5711
Blueprint_1_Products 3
Blueprint_1_Build 27

Repeated

Exclude_From_Master_Bundle
