GUID ae4b34c03cb64286bc6f46e6b9d60a48
Type Shirt
Rarity Rare
Useable Clothing
ID 60161

Size_X 3
Size_Y 2
Size_Z 0.35

Armor 0.85

Width 5
Height 3

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 60161
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 2
Blueprint_0_Output_0_ID 60010
Blueprint_0_Output_0_Amount 2
Blueprint_0_Output_1_ID 60023
Blueprint_0_Output_1_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 60023
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 27

Asset_Bundle_Version 3
