GUID 99562b1d9d1f484692138327c0d137ce
Type Throwable
Rarity Rare
Useable Throwable
ID 5698

Size_X 1
Size_Y 1
Size_Z 0.3

Player_Damage 175
Zombie_Damage 175
Animal_Damage 175
Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 100
Resource_Damage 1000
Object_Damage 500

Range 8
Explosion 34

Explosive

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 5698
Blueprint_0_Product 5711
Blueprint_0_Products 2
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 4
Blueprint_1_Supply_0_ID 5728
Blueprint_1_Supply_0_Amount 6
Blueprint_1_Supply_1_ID 5712
Blueprint_1_Supply_1_Amount 2
Blueprint_1_Supply_2_ID 5724
Blueprint_1_Supply_2_Amount 1
Blueprint_1_Supply_3_ID 5725
Blueprint_1_Supply_3_Amount 1
Blueprint_1_Build 32

Exclude_From_Master_Bundle
