GUID 34b5cdbe8e644f169fc518fe189a3c19
Type Vest
Rarity Rare
Useable Clothing
ID 5556

Size_X 2
Size_Y 2
Size_Z 0.5

Width 4
Height 3

Armor 0.90

Blueprints 3
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5556
Blueprint_0_Product 5716
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5716
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32
Blueprint_2_Type Tool
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 5724
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_1_ID 5716
Blueprint_2_Supply_1_Amount 2
Blueprint_2_Build 32

Exclude_From_Master_Bundle
