GUID 52c6a74939914e1896590a678ee7e339
Type Barricade
Rarity Common
Useable Barricade
Build Campfire
ID 47210

Size_X 1
Size_Y 1
Size_Z 0.21

Health 300
Range 4
Radius 0.02
Offset 0.19

Explosion 36

Blueprints 2
Blueprint_0_Type Utilities
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 1056
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 1057
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 68
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Utilities
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 47210
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 47218
Blueprint_1_Output_0_Amount 1
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 47210
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text Lower volume
Action_0_Tooltip Change to lower volume bell.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
Has_Clip_Prefab false
