GUID 1337c3e5cd7349599e6ecdee57250523
Type Small
Has_Clip_Prefab false

Conditions 2
Condition_0_Type Quest
Condition_0_ID 37008
Condition_0_Status Active
Condition_0_Logic Equal
Condition_1_Type Flag_Bool
Condition_1_ID 39011
Condition_1_Value false
Condition_1_Logic Equal
Condition_1_Allow_Unset

Interactability Quest
Interactability_Conditions 1
//Weight
Interactability_Condition_0_Type Flag_Short
Interactability_Condition_0_ID 39075
Interactability_Condition_0_Value 4
Interactability_Condition_0_Logic Less_Than
Interactability_Condition_0_Allow_Unset
Interactability_Rewards 3
//Collected Guitar
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 39011
Interactability_Reward_0_Value True
//Weight
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 39075
Interactability_Reward_1_Value 2
Interactability_Reward_1_Modification Increment
//Has Guitar
Interactability_Reward_2_Type Flag_Bool
Interactability_Reward_2_ID 39076
Interactability_Reward_2_Value True

Bundle_Override_Path Rio/Objects/Quests/Guitarist_Hero/Rio_Bea_Guitar
