GUID 9d3ff19fbb724af8b8e5b90f468541bd
Type Small
Has_Clip_Prefab false

Conditions 2
//Puzzle Progress
Condition_0_Type Flag_Short
Condition_0_ID 39251
Condition_0_Value 2
Condition_0_Logic Equal
//Puzzle is Active
Condition_1_Type Flag_Short
Condition_1_ID 39249
Condition_1_Value 1
Condition_1_Logic Equal

Interactability Quest
Interactability_Effect 36152
Interactability_Rewards 1
//Puzzle is Active
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 39249
Interactability_Reward_0_Value 0
Interactability_Reward_0_Modification Assign

Bundle_Override_Path Rio/Objects/Quests/Reaching_Out/Rio_Puzzle_Control_Deny
