GUID a8dbe5333a2b49abb1ab925c9df70634
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 10980

Size_X 5
Size_Y 2
Size_Z 0.45

Damage_Falloff_Max_Range 0.4
Damage_Falloff_Multiplier 0.75
Damage_Falloff_Range 0.3

Aim_In_Duration 0.2

Sight 11520
Magazine 11016

Hook_Tactical
Hook_Barrel
Hook_Sight

Ammo_Min 2
Ammo_Max 30

Safety
Semi

Caliber 11016

Range 250
Firerate 1
Action Trigger

Replace 0.75

Player_Damage 35
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 1.0
Player_Skull_Multiplier 1.3

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 24
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 25
Resource_Damage 15
Object_Damage 15

Durability 0.4

Spread_Aim 0.05
Spread_Hip 0.1

Recover_X 0.6
Recover_Y 0.6

Recoil_Min_X 0.3
Recoil_Min_Y 1
Recoil_Max_X 1.2
Recoil_Max_Y 2

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.05
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.075

Ballistic_Travel 15
Ballistic_Drop 0

Muzzle 5500

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 10980
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 10980
Blueprint_0_Output_0_Amount 1
Blueprint_0_Tool 11763
Blueprint_0_Level 0
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10980
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 3
Blueprint_1_Output_1_ID 11755
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27
Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 11033
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Tool 11763
Blueprint_2_Level 0
Blueprint_2_Skill Repair
Blueprint_2_Build 27

Exclude_From_Master_Bundle
