GUID 783c16c0dd3f4f22b31fe0af6eed9f4e
Type Medium
Has_Clip_Prefab false

Conditions 2
Condition_0_Type Flag_Short
Condition_0_ID 39130
Condition_0_Value 4
Condition_0_Logic Greater_Than_Or_Equal_To
Condition_1_Type Flag_Short
Condition_1_ID 39131
Condition_1_Value 1
Condition_1_Logic Less_Than
Condition_1_Allow_Unset

Interactability Quest
Interactability_Rewards 2
Interactability_Reward_0_Type Teleport
Interactability_Reward_0_Spawnpoint CH
Interactability_Reward_1_Type Quest
Interactability_Reward_1_ID 37002

Bundle_Override_Path Rio/Objects/Quests/BRDI_Elevators/Rio_BRDI_Elevator_Active
