GUID f860196038e84d60a9ed1a3715555d4d
Type Spawn
ID 5625

Tables 14

Table_0_Asset_ID 5660
Table_0_Weight 100

Table_1_Asset_ID 5661
Table_1_Weight 100

Table_2_Asset_ID 5662
Table_2_Weight 100

Table_3_Asset_ID 5663
Table_3_Weight 100

Table_4_Asset_ID 5664
Table_4_Weight 100

Table_5_Asset_ID 5665
Table_5_Weight 100

Table_6_Asset_ID 5666
Table_6_Weight 100

Table_7_Asset_ID 5667
Table_7_Weight 100

Table_8_Asset_ID 5668
Table_8_Weight 100

Table_9_Asset_ID 5669
Table_9_Weight 100

Table_10_Asset_ID 5670
Table_10_Weight 100

Table_11_Asset_ID 5671
Table_11_Weight 1

Table_12_Asset_ID 5672
Table_12_Weight 100

Table_13_Asset_ID 5673
Table_13_Weight 100
