GUID 46062b0ab3ab427f848604b893661aa5
Type Small
ID 3644

Asset_Bundle_Version 2

Conditions 2
Condition_0_Type Flag_Short
Condition_0_ID 3037
Condition_0_Value 0
Condition_0_Logic Equal
Condition_0_Allow_Unset
Condition_1_Type Flag_Short
Condition_1_ID 3050
Condition_1_Value 1
Condition_1_Logic Equal

Interactability Quest
Interactability_Effect 7
//NOT carrying a box
Interactability_Conditions 2
Interactability_Condition_0_Type Flag_Bool
Interactability_Condition_0_ID 3033
Interactability_Condition_0_Value False
Interactability_Condition_0_Logic Equal
Interactability_Condition_0_Allow_Unset
Interactability_Condition_1_Type Quest
Interactability_Condition_1_ID 3032
Interactability_Condition_1_Status Active
Interactability_Condition_1_Logic Equal
Interactability_Condition_1_Allow_Unset
Interactability_Rewards 2

//Carrying Box
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 3033
Interactability_Reward_0_Value True

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 3037
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Assign
