GUID 1972adae62314c69a703c8caf17a280d
Type Storage
Useable Barricade
Build Storage
ID 47147

Size_X 1
Size_Y 1
Size_Z 0.23

Health 150
Range 4
Radius 0.01
Offset 0.23

Storage_X 1
Storage_Y 2
Display

Explosion 19

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 516
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 141
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 47111

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Cloth.mp3
Salvage_Duration_Multiplier 0.5
Has_Clip_Prefab false
