GUID 841e65349d05497880c6a5adbee4f81d
Type Small
ID 3670

Asset_Bundle_Version 2

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 3033
Condition_0_Value True
Condition_0_Logic Equal
//Are a Chef
Condition_1_Type Flag_Short
Condition_1_ID 3001
Condition_1_Value 8
Condition_1_Logic Equal

Interactability Quest
Interactability_Effect 73
Interactability_Rewards 2

//Not Carrying Dishes
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 3033
Interactability_Reward_0_Value False

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 3061
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
