GUID d28c5868aa144446bb6db98cd660bf7b
Type Barricade
Useable Barricade
Build Barricade
ID 47363

Size_X 2
Size_Y 2
Size_Z 0.46

Health 200
Range 4
Radius 0.3
Offset 1.35

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
