GUID ba2fa5fe87fa4ef19e5f825e99d0588b
Type Small
ID 3830

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 3325
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7

Interactability_Rewards 2

//Add to Trophies count
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 3332
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment

//Hide Trophy
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 3325
Interactability_Reward_1_Value True
