GUID cb1209576bdf4f0ba0fcb1000b58ce53

Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 2140

Sight 1301
Magazine 2141

Ammo_Min 100
Ammo_Max 100

Auto

Caliber 2141

Range 500
Firerate 6
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 40
Resource_Damage 50
Object_Damage 50

Invulnerable

Aim_In_Duration 0.3
Spread_Aim 0.050
Spread_Hip 0.1

Recoil_Min_X -0.1
Recoil_Min_Y 0.3
Recoil_Max_X 0.1
Recoil_Max_Y 0.5

Recover_X 0.5
Recover_Y 0.5

Muzzle 4

Reload_Time 20
Turret
Exclude_From_Master_Bundle
