Name Disease Page #3

Interactability_Text_Line_0 MODERN DISEASES
Interactability_Text_Line_1 PAGE 134
Interactability_Text_Line_2 -----
Interactability_Text_Line_3 Legionnaire's Disease
Interactability_Text_Line_4 -----
Interactability_Text_Line_5 Common Symptoms: 
Interactability_Text_Line_6 •Fever
Interactability_Text_Line_7 •Headache
Interactability_Text_Line_8 •Chills
Interactability_Text_Line_9 •Muscle Pain
Interactability_Text_Line_10 •Chest Pain
Interactability_Text_Line_11 •Cough
Interactability_Text_Line_12 •Nausea
Interactability_Text_Line_13 •Vomiting
