GUID e14423f8e2ea4b9b98ccc160faee10a3
Type Small
ID 3713

Asset_Bundle_Version 2

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 3033
Condition_0_Value True
Condition_0_Logic Equal
//Is an Antibiotic
Condition_1_Type Flag_Short
Condition_1_ID 3117
Condition_1_Value 3
Condition_1_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2

//Picked Up
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 3116
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment

//Carrying Item
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 3033
Interactability_Reward_1_Value False
