GUID 82f7b00a15634565853dde5b88a70d78
Type Barricade
Useable Barricade
Build Barricade
ID 47362

Size_X 2
Size_Y 2
Size_Z 0.43

Health 200
Range 4
Radius 0.3
Offset 1.35

Explosion 29

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 63
Blueprint_0_Supply_0_Amount 8
Blueprint_0_Supply_1_ID 71
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 138
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_01.mp3
Has_Clip_Prefab false
