GUID 70022ef901a2496a8b9e9422be840b94
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 50127

Size_X 5
Size_Y 2
Size_Z 0.525
Size2_Z 0.35

Sight 50128
Magazine 50101

Hook_Tactical

Ammo_Min 10
Ammo_Max 30

Safety
Semi

Caliber 50121

Range 350
Firerate 100
Shell 0
Action Bolt

Player_Damage 125
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 125
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 125
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 35
Structure_Damage 35
Vehicle_Damage 50
Resource_Damage 20
Object_Damage 50

Invulnerable

Durability 1
Wear 3

Spread_Aim 0.001
Spread_Hip 0.4

Ballistic_Steps 20
Ballistic_Travel 15

Recoil_Aim 0.25
Recoil_Min_X -10
Recoil_Min_Y 30
Recoil_Max_X 10
Recoil_Max_Y 35

Recover_X 0.33
Recover_Y 0.33

Ballistic_Steps 24
Ballistic_Travel 12.5
Ballistic_Drop 0

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 4
Blueprint_0_Supply_0_ID 60001
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 60009
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 60031
Blueprint_0_Supply_2_Amount 3
Blueprint_0_Supply_3_ID 60034
Blueprint_0_Supply_3_Amount 3
Blueprint_0_Skill Repair
Blueprint_0_Level 3
Blueprint_0_Build 27
Blueprint_1_Type Apparel
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 50127
Blueprint_1_Outputs 3
Blueprint_1_Output_0_ID 60009
Blueprint_1_Output_0_Amount 1
Blueprint_1_Output_1_ID 60031
Blueprint_1_Output_1_Amount 1
Blueprint_1_Output_2_ID 60034
Blueprint_1_Output_2_Amount 1
Blueprint_1_Build 27
