GUID 45202de6be3146c884fc17106a5b30a2
Type Barricade
Rarity Rare
Useable Barricade
Build Spot
ID 47401

Size_X 2
Size_Y 3
Size_Z 0.56

Health 500
Range 5
Radius 0.5
Offset 2.125

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 47401
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 47400
Blueprint_0_Output_0_Amount 1
Blueprint_0_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 47401
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Change Night Light
Action_0_Tooltip Change to a light that automatically turns on at night.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
