GUID b8d6eed208f74842a29e799762c8c0a2
Type Generator
Useable Barricade
Build Generator
ID 48388

Size_X 1
Size_Y 1
Size_Z 0.32

Health 10000
Range 6
Radius 0.0
Offset 0.4

Capacity 100
Wirerange 256.0
Burn 8000000

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 48388
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 48386
Blueprint_0_Output_0_Amount 1
Blueprint_0_Build 48321

Actions 1
Action_0_Type Blueprint
Action_0_Source 48388
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Range Reduction
Action_0_Tooltip Reduce the electricity supply range to 16 m.

Armor_Tier High
Proof_Explosion
Allow_Placement_Inside_Clip_Volumes true
Bypass_Claim
Can_Be_Damaged false
Unsalvageable

Has_Clip_Prefab false
Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
Should_Drop_On_Death false
PlacementAudioClip Barricades/Generator/Use.mp3
