GUID 2e3c925ce9e146c8bfac79944517ce12
Type Small
ID 23152

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 23152
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 23152
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 23150
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
