GUID 0ded356a2147424fb24e93f793185283
Type Storage
Useable Barricade
Build Storage_Wall
ID 47352

Size_X 2
Size_Y 2
Size_Z 0.44

Health 150
Range 4
Offset 0.25

Storage_X 2
Storage_Y 2

Explosion 36

Blueprints 4
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 285
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Blueprint_1_Type Furniture
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 47352
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_0_Critical
Blueprint_1_Supply_1_ID 40
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Product 47353
Blueprint_1_Build 27

Blueprint_2_Type Furniture
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 47352
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_0_Critical
Blueprint_2_Supply_1_ID 42
Blueprint_2_Supply_1_Amount 1
Blueprint_2_Product 47354
Blueprint_2_Build 27

Blueprint_3_Type Furniture
Blueprint_3_Supplies 2
Blueprint_3_Supply_0_ID 47352
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Supply_0_Critical
Blueprint_3_Supply_1_ID 259
Blueprint_3_Supply_1_Amount 1
Blueprint_3_Product 47355
Blueprint_3_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 47352
Action_0_Blueprints 3
Action_0_Blueprint_0_Index 1
Action_0_Blueprint_0_Link
Action_0_Blueprint_1_Index 2
Action_0_Blueprint_1_Link
Action_0_Blueprint_2_Index 3
Action_0_Blueprint_2_Link
Action_0_Text Change Color
Action_0_Tooltip Change towel color.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
