GUID 0edb5791c06f46aca312ff54758cded3
Type Supply
ID 49103

Size_X 1
Size_Y 1
Size_Z 0.44

Blueprints 3
Blueprint_0_Type Gear
Blueprint_0_Supply_0_ID 66
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 49103
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 66
Blueprint_1_Output_0_Amount 10
Blueprint_1_Build 27

Blueprint_2_Type Gear
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 64
Blueprint_2_Outputs 1
Blueprint_2_Output_0_ID 66
Blueprint_2_Output_0_Amount 4
Blueprint_2_Build 27

Actions 2
Action_0_Type Blueprint
Action_0_Source 49104
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Stacking
Action_0_Tooltip Stacking 100 Cloths.

Action_1_Type Blueprint
Action_1_Source 49103
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 1
Action_1_Text Unstacking
Action_1_Tooltip Unstacking into 10 Cloths.

Use_Auto_Icon_Measurements false
