GUID b7d50bd8240a41ab816e884a483cd42a

Type Magazine
Rarity Epic
ID 6507

Size_X 2
Size_Y 2
Size_Z 0.75

Amount 100
Count_Min 40
Count_Max 90

Calibers 1
Caliber_0 37

Tracer 55

Range 1.5
Player_Damage 20
Zombie_Damage 40
Animal_Damage 40
Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 10
Resource_Damage 50
Object_Damage 20
Explosion 53
Explosive

Blueprints 2
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 43
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 6507
Blueprint_1_Build 30

Exclude_From_Master_Bundle
