GUID 5b8edb77c71b4fd1ad62a32931424285
Type Food
Useable Consumeable
ID 41136

Size_X 1
Size_Y 1
Size_Z 0.28

Health 5
Food 75

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 460
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 41131
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 2
Blueprint_0_Skill Cook
Blueprint_0_Build 47103

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
ConsumeAudioClip Consumables/Use_Food_05.mp3
Instantiated_Item_Name_Override 41106
