GUID c69506dcb8444ae581fd4cd9d0886da5
Type Supply
ID 48435

Size_X 1
Size_Y 1
Size_Z 0.35

Blueprints 68
Blueprint_0_Type Structure
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 48435
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_0_Critical
Blueprint_0_Outputs 2
Blueprint_0_Output_0_ID 48434
Blueprint_0_Output_0_Amount 1
Blueprint_0_Output_1_ID 51
Blueprint_0_Output_1_Amount 1
Blueprint_0_Build 48315

Blueprint_1_Type Structure
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 48435
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_0_Critical
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 48434
Blueprint_1_Output_0_Amount 1
Blueprint_1_Output_1_ID 31
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 48315

Blueprint_2_Type Structure
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 48435
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_0_Critical
Blueprint_2_Outputs 2
Blueprint_2_Output_0_ID 48434
Blueprint_2_Output_0_Amount 1
Blueprint_2_Output_1_ID 52
Blueprint_2_Output_1_Amount 1
Blueprint_2_Build 48315

Blueprint_3_Type Structure
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 48435
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Supply_0_Critical
Blueprint_3_Outputs 2
Blueprint_3_Output_0_ID 48434
Blueprint_3_Output_0_Amount 1
Blueprint_3_Output_1_ID 369
Blueprint_3_Output_1_Amount 1
Blueprint_3_Build 48315

Blueprint_4_Type Structure
Blueprint_4_Supplies 1
Blueprint_4_Supply_0_ID 48435
Blueprint_4_Supply_0_Amount 1
Blueprint_4_Supply_0_Critical
Blueprint_4_Outputs 2
Blueprint_4_Output_0_ID 48434
Blueprint_4_Output_0_Amount 1
Blueprint_4_Output_1_ID 1263
Blueprint_4_Output_1_Amount 1
Blueprint_4_Build 48315

Blueprint_5_Type Structure
Blueprint_5_Supplies 1
Blueprint_5_Supply_0_ID 48435
Blueprint_5_Supply_0_Amount 1
Blueprint_5_Supply_0_Critical
Blueprint_5_Outputs 2
Blueprint_5_Output_0_ID 48434
Blueprint_5_Output_0_Amount 1
Blueprint_5_Output_1_ID 1262
Blueprint_5_Output_1_Amount 1
Blueprint_5_Build 48315

Blueprint_6_Type Structure
Blueprint_6_Supplies 1
Blueprint_6_Supply_0_ID 48435
Blueprint_6_Supply_0_Amount 1
Blueprint_6_Supply_0_Critical
Blueprint_6_Outputs 2
Blueprint_6_Output_0_ID 48434
