GUID 79795da453ea4dca8b05e7ad33f01c75
Type Small
ID 15927

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 16703
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 16703
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 16501
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
