GUID cf217bbeffdd4a88b020e93de29a87bc
Type Food
Useable Consumeable
ID 41213

Size_X 2
Size_Y 2
Size_Z 0.45

Backward

Health 5
Food 25

Blueprints 2
Blueprint_0_Type Supply
Blueprint_0_Supplies 5
Blueprint_0_Supply_0_ID 1162
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 41135
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 515
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Supply_3_ID 340
Blueprint_0_Supply_3_Amount 1
Blueprint_0_Supply_4_ID 42117
Blueprint_0_Supply_4_Amount 1
Blueprint_0_Tool 1030
Blueprint_0_Level 3
Blueprint_0_Skill Cook
Blueprint_0_Build 47103

Blueprint_1_Type Supply
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 41213
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 41215
Blueprint_1_Output_0_Amount 1
Blueprint_1_Output_1_ID 41214
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27

Quest_Rewards 1
Quest_Reward_0_Type Item
Quest_Reward_0_ID 41214
Quest_Reward_0_Amount 1

Actions 2
Action_0_Type Blueprint
Action_0_Source 41216
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Box
Action_0_Tooltip Put the pizza in the box.

Action_1_Type Blueprint
Action_1_Source 41213
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 1
Action_1_Text Cut
Action_1_Tooltip Slice the pizza and take a piece.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
ConsumeAudioClip Consumables/Use_Food_08.mp3
Instantiated_Item_Name_Override 41138
