GUID 6298a7c1c8024a2ea1f5b693dc2151f6
Type Small
ID 3832

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 3327
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7

Interactability_Rewards 2

//Add to Trophies count
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 3332
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment

//Hide Trophy
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 3327
Interactability_Reward_1_Value True
