GUID d0419d8c70a242e3904cc8d19d281884
Type Barricade
Rarity Rare
Useable Barricade
Build Campfire
ID 47276

Size_X 2
Size_Y 1
Size_Z 0.2

Health 300
Range 4
Radius 0.01
Offset 3.6

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 4
Blueprint_0_Supply_0_ID 42191
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Supply_2_ID 71
Blueprint_0_Supply_2_Amount 4
Blueprint_0_Supply_3_ID 65
Blueprint_0_Supply_3_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
PlacementPreviewPrefab Furniture/Light_Ceiling_Candle/Preview.prefab
