GUID 7cf0b607bef34f86873923de2c352c3f
Type Gun
Rarity Uncommon
Useable Gun
Slot Primary
ID 10976

Size_X 5
Size_Y 2
Size_Z 0.5

Damage_Falloff_Max_Range 0.44
Damage_Falloff_Multiplier 0.65
Damage_Falloff_Range 0.3

Aim_In_Duration 0.2

Magazine 10999
Sight 11696

Hook_Tactical
Hook_Barrel

Attachment_Calibers 1
Attachment_Caliber_0 11105

Ammo_Min 2
Ammo_Max 5

Safety
Semi

Caliber 10999

Range 35
Firerate 40
Action Pump

Player_Damage 20
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 1.0
Player_Skull_Multiplier 1.5

Zombie_Damage 40
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 2.5

Animal_Damage 40
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 2.5

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.3

Spread_Aim 0.6
Spread_Hip 0.16

Recoil_Min_X -10
Recoil_Min_Y 35
Recoil_Max_X 10
Recoil_Max_Y 40

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 10976
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 10976
Blueprint_0_Output_0_Amount 1
Blueprint_0_Tool 11763
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10976
Blueprint_1_Outputs 3
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 5
Blueprint_1_Output_1_ID 11752
Blueprint_1_Output_1_Amount 2
Blueprint_1_Output_2_ID 11031
Blueprint_1_Output_2_Amount 1
Blueprint_1_Build 27
Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 11034
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Tool 11763
Blueprint_2_Level 2
Blueprint_2_Skill Repair
Blueprint_2_Build 27

Exclude_From_Master_Bundle
