GUID b1bdab7b4a37466c9c3bc7c3ab4838f5
Type Small
ID 3750

Asset_Bundle_Version 2

Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 3215
Condition_0_Value -1
Condition_0_Logic Greater_Than

Interactability Quest
Interactability_Effect 7

Interactability_Conditions 2
Interactability_Condition_0_Type Flag_Short
Interactability_Condition_0_ID 3214
Interactability_Condition_0_Value 0
Interactability_Condition_0_Logic Greater_Than
Interactability_Condition_1_Type Flag_Short
Interactability_Condition_1_ID 3214
Interactability_Condition_1_Value 4
Interactability_Condition_1_Logic Less_Than

Interactability_Rewards 1

//Set Red Bugs Value
Interactability_Reward_0_Type Flag_Math
Interactability_Reward_0_A_ID 3215
Interactability_Reward_0_B_ID 3214
Interactability_Reward_0_Operation ASSIGN
