GUID 34f55e3909fb46d6bd1c5e3c3a3dffc6
Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 47202

Size_X 2
Size_Y 2
Size_Z 0.35

Health 200
Range 4
Radius 0.05
Offset 0.416

Storage_X 3
Storage_Y 3

Explosion 96

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 42224
Blueprint_0_Supply_0_Amount 12
Blueprint_0_Supply_0_Critical
Blueprint_0_Supply_1_ID 47111
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Small_01.mp3
Has_Clip_Prefab false
