GUID 4387565d0b2d4e0fbc821617e116dd08
Rarity Uncommon
Type Melee
Useable Melee
Slot Secondary
ID 5570

Size_X 1
Size_Y 4
Size_Z 0.75

Range 2.4
Strong 0.375
Strength 1.5
Stamina 25

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.1

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5570
Blueprint_1_Product 5711
Blueprint_1_Products 2
Blueprint_1_Build 27

Exclude_From_Master_Bundle
