GUID 78110c7a9b304c9ca4c002b0ecb91e6b

Type Small

Has_Clip_Prefab False

ID 60185

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 59117
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 1
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 59117
Interactability_Reward_0_Value True

Master_Bundle_Override loco_curated_objects.masterbundle
Bundle_Override_Path /Objects/Smol/PS_Radar_Station_Key_0
