GUID 76df0b8a9925447d83937342c38c6fc4
Type Small
ID 3720

Asset_Bundle_Version 2

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 3176
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
//NOT carrying a box
Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Bool
Interactability_Condition_0_ID 3033
Interactability_Condition_0_Value False
Interactability_Condition_0_Logic Equal
Interactability_Condition_0_Allow_Unset
Interactability_Rewards 2

//Carrying Box
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 3033
Interactability_Reward_0_Value True

Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 3176
Interactability_Reward_1_Value True
