GUID 50409d783eab476a94d19c7916d38c10
Type Small
ID 6318

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 3141
Condition_0_Value 0
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Bool
Interactability_Condition_0_ID 3033
Interactability_Condition_0_Value False
Interactability_Condition_0_Logic Equal
Interactability_Condition_0_Allow_Unset
Interactability_Rewards 2

//Picked Up
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 3141
Interactability_Reward_0_Value True

//Carrying Item
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 3033
Interactability_Reward_1_Value True
