GUID 1195168fb10a449bb3cdfc9ae5909eea
Type Barricade
Rarity Epic
Useable Barricade
Build Oxygenator
ID 47141

Size_X 1
Size_Y 1
Size_Z 0.32

Health 300
Range 4
Radius 0.16
Offset 0.224

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 1261
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 1176
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
