GUID 75a7af976d8e4f90a754c7e633aa5665
Type Barricade
Rarity Rare
Useable Barricade
Build Campfire
ID 47274

Size_X 1
Size_Y 1
Size_Z 0.3

Health 200
Range 4
Radius 0.03
Offset 0.4

Explosion 28

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 42191
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 141
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Small_01.mp3
Has_Clip_Prefab false
