GUID f4803b2d60b4486fb10daf9580a996f5
Type Supply
ID 48130

Size_X 2
Size_Y 2
Size_Z 0.39

Blueprints 33
Blueprint_0_Type Tool
Blueprint_0_Supplies 6
Blueprint_0_Supply_0_ID 255
Blueprint_0_Supply_1_ID 256
Blueprint_0_Supply_2_ID 257
Blueprint_0_Supply_3_ID 258
Blueprint_0_Supply_4_ID 259
Blueprint_0_Supply_5_ID 260
Blueprint_0_Build 27

Blueprint_1_Type Furniture
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 41
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Tool 48130
Blueprint_1_Tool_Critical
Blueprint_1_Product 47240
Blueprint_1_Build 47101

Blueprint_2_Type Furniture
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 41
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Tool 48130
Blueprint_2_Tool_Critical
Blueprint_2_Product 47242
Blueprint_2_Build 27

Blueprint_3_Type Furniture
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 67
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Tool 48130
Blueprint_3_Tool_Critical
Blueprint_3_Product 47243
Blueprint_3_Build 27

Blueprint_4_Type Furniture
Blueprint_4_Supplies 1
Blueprint_4_Supply_0_ID 67
Blueprint_4_Supply_0_Amount 1
Blueprint_4_Tool 48130
Blueprint_4_Tool_Critical
Blueprint_4_Product 47249
Blueprint_4_Build 27

Blueprint_5_Type Furniture
Blueprint_5_Supplies 1
Blueprint_5_Supply_0_ID 67
Blueprint_5_Supply_0_Amount 1
Blueprint_5_Tool 48130
Blueprint_5_Tool_Critical
Blueprint_5_Product 47250
Blueprint_5_Build 27

Blueprint_6_Type Furniture
Blueprint_6_Supplies 1
Blueprint_6_Supply_0_ID 67
Blueprint_6_Supply_0_Amount 1
Blueprint_6_Tool 48130
Blueprint_6_Tool_Critical
Blueprint_6_Product 47251
Blueprint_6_Build 27

Blueprint_7_Type Furniture
Blueprint_7_Supplies 1
Blueprint_7_Supply_0_ID 67
Blueprint_7_Supply_0_Amount 1
Blueprint_7_Tool 48130
Blueprint_7_Tool_Critical
Blueprint_7_Product 47252
Blueprint_7_Build 27

Blueprint_8_Type Furniture
Blueprint_8_Supplies 1
Blueprint_8_Supply_0_ID 67
Blueprint_8_Supply_0_Amount 1
Blueprint_8_Tool 48130
Blueprint_8_Tool_Critical
Blueprint_8_Product 47253
Blueprint_8_Build 27

Blueprint_9_Type Furniture
Blueprint_9_Supplies 1
Blueprint_9_Supply_0_ID 67
Blueprint_9_Supply_0_Amount 1
Blueprint_9_Tool 48130
Blueprint_9_Tool_Critical
Blueprint_9_Product 47246
