GUID aa484cba94c849b285346baec82de42e
Type Spawn
ID 60009

Roots 2
Root_0_Spawn_ID 370
Root_0_Weight 30
Root_1_Spawn_ID 127
Root_1_Weight 40

Tables 12
Table_0_Asset_ID 60052
Table_0_Weight 20
Table_1_Asset_ID 60058
Table_1_Weight 20
Table_2_Asset_ID 60064
Table_2_Weight 20
Table_3_Asset_ID 60097
Table_3_Weight 20
Table_4_Asset_ID 60075
Table_4_Weight 10
Table_5_Asset_ID 60086
Table_5_Weight 10
Table_6_Asset_ID 60107
Table_6_Weight 10
Table_7_Asset_ID 60095
Table_7_Weight 10
Table_8_Asset_ID 60098
Table_8_Weight 10
Table_9_Asset_ID 60050
Table_9_Weight 5
Table_10_Asset_ID 60077
Table_10_Weight 5
Table_11_Asset_ID 60092
Table_11_Weight 5
