GUID fb09ca38b66a4778b8f04a6915ca07f2
Type Spawn
ID 50101

Roots 16

//Miliary_America
Root_0_Spawn_ID 334
Root_0_Weight 20

//Military_Canada
Root_1_Spawn_ID 114
Root_1_Weight 10

//Military_Low (Russia)
Root_2_Spawn_ID 551
Root_2_Weight 10

//Military_Low_Peaks
Root_3_Spawn_ID 685
Root_3_Weight 10

//Special_Canada
Root_4_Spawn_ID 133
Root_4_Weight 50

//Special_America
Root_5_Spawn_ID 347
Root_5_Weight 50

//Special_Low
Root_6_Spawn_ID 555
Root_6_Weight 50

//Special_Low_Peaks
Root_7_Spawn_ID 689
Root_7_Weight 50

//Beacon
Root_8_Spawn_ID 1
Root_8_Weight 150

//Carepackage_America
Root_9_Spawn_ID 540
Root_9_Weight 150

//Carepackage_Canada
Root_10_Spawn_ID 542
Root_10_Weight 150

//Carepackage_Peaks
Root_11_Spawn_ID 680
Root_11_Weight 150

//Carepackage_Russia
Root_12_Spawn_ID 615
Root_12_Weight 150

//Police
Root_13_Spawn_ID 94
Root_13_Weight 25

//Police_Low (Russia)
Root_14_Spawn_ID 547
Root_14_Weight 25

//Police_Low (Peaks)
Root_15_Spawn_ID 687
Root_15_Weight 25



Tables 5
Table_0_Asset_ID 50103
Table_0_Weight 200
Table_1_Asset_ID 50130
Table_1_Weight 100
Table_2_Asset_ID 50104
Table_2_Weight 100
Table_3_Asset_ID 50133
Table_3_Weight 50
Table_4_Asset_ID 50131
Table_4_Weight 35
